"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 23 01:23:42 GMT 2024","Sun Jun 23 01:23:50 GMT 2024","7652","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Sun Jun 23 01:21:57 GMT 2024","Sun Jun 23 01:22:48 GMT 2024","51319","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"failed","Sun Jun 23 01:21:09 GMT 2024","Sun Jun 23 01:21:52 GMT 2024","43124","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Sun Jun 23 01:28:26 GMT 2024","Sun Jun 23 01:29:19 GMT 2024","53898","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Sun Jun 23 01:29:20 GMT 2024","Sun Jun 23 01:29:31 GMT 2024","11046","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Sun Jun 23 01:25:39 GMT 2024","Sun Jun 23 01:26:13 GMT 2024","33267","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Sun Jun 23 01:26:13 GMT 2024","Sun Jun 23 01:26:57 GMT 2024","44719","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Sun Jun 23 01:27:52 GMT 2024","Sun Jun 23 01:28:26 GMT 2024","33224","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Sun Jun 23 01:25:32 GMT 2024","Sun Jun 23 01:25:39 GMT 2024","7232","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Sun Jun 23 01:22:48 GMT 2024","Sun Jun 23 01:23:42 GMT 2024","53594","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Sun Jun 23 01:23:50 GMT 2024","Sun Jun 23 01:24:36 GMT 2024","46454","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Sun Jun 23 01:27:02 GMT 2024","Sun Jun 23 01:27:52 GMT 2024","49772","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Sun Jun 23 01:24:36 GMT 2024","Sun Jun 23 01:25:27 GMT 2024","50733","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
