"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 01:20:54 GMT 2024","Sat Jun 22 01:21:45 GMT 2024","51058","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Sat Jun 22 01:17:41 GMT 2024","Sat Jun 22 01:18:27 GMT 2024","46893","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Sat Jun 22 01:23:13 GMT 2024","Sat Jun 22 01:23:24 GMT 2024","10757","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Sat Jun 22 01:18:27 GMT 2024","Sat Jun 22 01:19:18 GMT 2024","50371","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Sat Jun 22 01:19:30 GMT 2024","Sat Jun 22 01:20:04 GMT 2024","33351","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Sat Jun 22 01:15:47 GMT 2024","Sat Jun 22 01:16:39 GMT 2024","51762","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"failed","Sat Jun 22 01:14:59 GMT 2024","Sat Jun 22 01:15:42 GMT 2024","43249","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Sat Jun 22 01:21:45 GMT 2024","Sat Jun 22 01:22:19 GMT 2024","33358","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Sat Jun 22 01:20:04 GMT 2024","Sat Jun 22 01:20:49 GMT 2024","45062","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Sat Jun 22 01:22:19 GMT 2024","Sat Jun 22 01:23:13 GMT 2024","54404","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Sat Jun 22 01:16:39 GMT 2024","Sat Jun 22 01:17:34 GMT 2024","54975","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Sat Jun 22 01:17:34 GMT 2024","Sat Jun 22 01:17:40 GMT 2024","6680","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Sat Jun 22 01:19:23 GMT 2024","Sat Jun 22 01:19:30 GMT 2024","6993","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
