"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 21 01:19:16 GMT 2024","Fri Jun 21 01:20:06 GMT 2024","50133","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Fri Jun 21 01:18:29 GMT 2024","Fri Jun 21 01:19:16 GMT 2024","46319","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"failed","Fri Jun 21 01:15:50 GMT 2024","Fri Jun 21 01:16:33 GMT 2024","43177","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Fri Jun 21 01:17:30 GMT 2024","Fri Jun 21 01:18:24 GMT 2024","53318","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Fri Jun 21 01:22:31 GMT 2024","Fri Jun 21 01:23:03 GMT 2024","32422","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Fri Jun 21 01:23:58 GMT 2024","Fri Jun 21 01:24:08 GMT 2024","9969","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Fri Jun 21 01:21:42 GMT 2024","Fri Jun 21 01:22:31 GMT 2024","49003","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Fri Jun 21 01:20:51 GMT 2024","Fri Jun 21 01:21:35 GMT 2024","44371","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Fri Jun 21 01:16:39 GMT 2024","Fri Jun 21 01:17:30 GMT 2024","51232","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"passed","Fri Jun 21 01:20:19 GMT 2024","Fri Jun 21 01:20:51 GMT 2024","32269","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Fri Jun 21 01:20:13 GMT 2024","Fri Jun 21 01:20:19 GMT 2024","5940","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Fri Jun 21 01:18:24 GMT 2024","Fri Jun 21 01:18:29 GMT 2024","5500","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Fri Jun 21 01:23:03 GMT 2024","Fri Jun 21 01:23:58 GMT 2024","54152","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
