"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 01:21:29 GMT 2024","Thu Jun 27 01:22:05 GMT 2024","36560","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Thu Jun 27 01:20:22 GMT 2024","Thu Jun 27 01:21:16 GMT 2024","53603","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Thu Jun 27 01:22:59 GMT 2024","Thu Jun 27 01:23:52 GMT 2024","53122","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Thu Jun 27 01:25:27 GMT 2024","Thu Jun 27 01:25:38 GMT 2024","10616","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"failed","Thu Jun 27 01:16:49 GMT 2024","Thu Jun 27 01:17:32 GMT 2024","43207","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Thu Jun 27 01:24:29 GMT 2024","Thu Jun 27 01:25:27 GMT 2024","58459","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Thu Jun 27 01:22:05 GMT 2024","Thu Jun 27 01:22:53 GMT 2024","47663","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Thu Jun 27 01:23:52 GMT 2024","Thu Jun 27 01:24:29 GMT 2024","36713","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Thu Jun 27 01:19:26 GMT 2024","Thu Jun 27 01:19:33 GMT 2024","7107","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Thu Jun 27 01:21:22 GMT 2024","Thu Jun 27 01:21:29 GMT 2024","6845","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Thu Jun 27 01:18:30 GMT 2024","Thu Jun 27 01:19:26 GMT 2024","55983","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Thu Jun 27 01:17:38 GMT 2024","Thu Jun 27 01:18:30 GMT 2024","52059","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
"passed","Thu Jun 27 01:19:33 GMT 2024","Thu Jun 27 01:20:22 GMT 2024","49136","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
